VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
7239,REMY COINTREAU USA INC,5242,Cointreau Liqueur,22.05,29.99,750.0,25361,559210.05,24770.0,763368.3,351898.27,19504.75,16978.67,204158.25,26.74,0.98,1.37
7239,REMY COINTREAU USA INC,4722,Remy Martin VSOP Cognac,27.77,34.99,750.0,19910,552900.7,18637.0,665392.63,204514.67,14677.69,16978.67,112491.93,16.91,0.94,1.2
4425,MARTIGNETTI COMPANIES,6967,Santa Margherita Pnt Grigio,11.89,19.99,750.0,46257,549995.73,46511.0,923055.25,185950.74,5216.4,144929.24,373059.52,40.42,1.01,1.68
8664,"STOLI GROUP,(USA) LLC",3630,Stolichnaya Razberi,19.83,24.99,1750.0,27479,544908.57,27622.0,700960.78,298569.61,50751.81,18544.49,156052.21,22.26,1.01,1.29
1128,BROWN-FORMAN CORP,2760,Jack Daniels Tennessee Honey,28.02,38.99,1750.0,19219,538516.38,18250.0,701171.5,345701.2,33536.43,68601.68,162655.12,23.2,0.95,1.3
3960,DIAGEO NORTH AMERICA INC,8178,Bulleit Bourbon,18.51,25.99,750.0,28421,526072.71,27204.0,724379.96,301943.56,21421.64,257032.07,198307.25,27.38,0.96,1.38
3089,SIDNEY FRANK IMPORTING CO,5445,Jagermeister Liqueur,11.76,15.99,750.0,44330,521320.8,41133.0,661672.67,253884.34,32383.34,8549.55,140351.87,21.21,0.93,1.27
3252,E & J GALLO WINERY,14006,Apothic Winemakers Red Blend,5.44,9.99,750.0,94779,515597.76,91600.0,812899.38,143899.93,10283.26,61966.91,297301.62,36.57,0.97,1.58
3664,WILLIAM GRANT & SONS INC,3238,Hendrick's Gin,22.83,29.99,750.0,22352,510296.16,20847.0,632474.53,294114.64,16416.8,30234.42,122178.37,19.32,0.93,1.24
12546,JIM BEAM BRANDS COMPANY,3980,Hornitos Reposado Tequila,31.99,39.99,1750.0,15805,505601.95,15381.0,565522.19,323365.62,28264.51,123880.97,59920.24,10.6,0.97,1.12
